"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","ERS1VM221F12OT","CAP-TH_BD8.0-P3.50-D0.6-FD","12.319mm","12.065mm","12.319mm","12.065mm","12.319mm","10.315mm","2","T","90","No","220uF","220uF"
"C43","CAP_0805","C0805","1.647mm","12.864mm","1.647mm","12.864mm","1.647mm","11.864mm","2","B","90","Yes","22uF 25V","22uF 25V"
"C45","CAP_0402","C0402","5.969mm","13.716mm","5.969mm","13.716mm","5.969mm","13.171mm","2","B","90","Yes","22pF","22pF"
"C66","CAP_0402","C0402","-2.667mm","14.351mm","-2.667mm","14.351mm","-2.122mm","14.351mm","2","T","180","Yes","100nF","100nF"
"C67","CAP_0805","C0805","3.489mm","12.864mm","3.489mm","12.864mm","3.489mm","11.864mm","2","B","90","Yes","22uF 25V","22uF 25V"
"C74","CAP_1206","C1206","-2.413mm","10.668mm","-2.413mm","10.668mm","-0.82mm","10.668mm","2","B","180","Yes","10uF","10uF"
"C75","CAP_1206","C1206","-0.635mm","-17.78mm","-0.635mm","-17.78mm","-0.635mm","-19.373mm","2","B","90","Yes","10uF","10uF"
"C76","CAP_0805","C0805","18.923mm","20.193mm","18.923mm","20.193mm","19.923mm","20.193mm","2","B","180","Yes","33uF","33uF"
"C77","CAP_0402","C0402","-13.335mm","-7.874mm","-13.335mm","-7.874mm","-13.335mm","-7.329mm","2","B","270","Yes","100nF","100nF"
"C78","PA25V220M6x8","CAP-TH_BD6.3-P2.50-D0.6-FD-1","-30.353mm","-19.05mm","-30.353mm","-19.05mm","-29.728mm","-17.968mm","2","T","240","No","220uF","220uF"
"C79","CAP_0402","C0402","-6.731mm","-9.779mm","-6.731mm","-9.779mm","-6.731mm","-10.324mm","2","B","90","Yes","100nF","100nF"
"C80","CAP_1206","C1206","-5.08mm","-10.668mm","-5.08mm","-10.668mm","-5.08mm","-12.261mm","2","B","90","Yes","10uF","10uF"
"C81","CAP_0805","C0805","-30.353mm","-7.747mm","-30.353mm","-7.747mm","-31.353mm","-7.747mm","2","B","0","Yes","22uF","22uF"
"C82","CAP_0805","C0805","-24.257mm","-6.731mm","-24.257mm","-6.731mm","-24.257mm","-7.731mm","2","B","90","Yes","22uF","22uF"
"C83","CAP_0805","C0805","-30.607mm","-2.921mm","-30.607mm","-2.921mm","-30.607mm","-3.921mm","2","B","90","Yes","22uF","22uF"
"C84","CAP_0402","C0402","-13.335mm","-11.811mm","-13.335mm","-11.811mm","-13.335mm","-11.266mm","2","B","270","Yes","100nF","100nF"
"C85","CAP_0603","C0603","-12.573mm","-5.969mm","-12.573mm","-5.969mm","-13.273mm","-5.969mm","2","B","0","Yes","1uF","1uF"
"C86","CAP_1206","C1206","-2.921mm","-10.668mm","-2.921mm","-10.668mm","-2.921mm","-12.261mm","2","B","90","Yes","10uF","10uF"
"C87","CAP_0402","C0402","-13.335mm","-15.621mm","-13.335mm","-15.621mm","-13.335mm","-15.076mm","2","B","270","Yes","100nF","100nF"
"C88","PA25V220M6x8","CAP-TH_BD6.3-P2.50-D0.6-FD-1","-30.353mm","-5.842mm","-30.353mm","-5.842mm","-29.103mm","-5.842mm","2","T","180","No","220uF","220uF"
"C89","CAP_0402","C0402","-6.604mm","-15.621mm","-6.604mm","-15.621mm","-6.604mm","-15.076mm","2","B","270","Yes","100nF","100nF"
"C90","CAP_1206","C1206","-4.953mm","-17.78mm","-4.953mm","-17.78mm","-4.953mm","-19.373mm","2","B","90","Yes","10uF","10uF"
"C91","CAP_0805","C0805","-27.686mm","-18.669mm","-27.686mm","-18.669mm","-27.686mm","-19.669mm","2","B","90","Yes","22uF","22uF"
"C92","CAP_0805","C0805","-25.654mm","-18.669mm","-25.654mm","-18.669mm","-25.654mm","-19.669mm","2","B","90","Yes","22uF","22uF"
"C93","CAP_0805","C0805","-30.82mm","-11.877mm","-30.82mm","-11.877mm","-30.82mm","-10.877mm","2","B","270","Yes","22uF","22uF"
"C94","CAP_0402","C0402","-13.335mm","-19.558mm","-13.335mm","-19.558mm","-13.335mm","-19.013mm","2","B","270","Yes","100nF","100nF"
"C95","CAP_0603","C0603","-12.573mm","-13.716mm","-12.573mm","-13.716mm","-13.273mm","-13.716mm","2","B","0","Yes","1uF","1uF"
"C96","CAP_1206","C1206","-2.794mm","-17.78mm","-2.794mm","-17.78mm","-2.794mm","-19.373mm","2","B","90","Yes","10uF","10uF"
"C97","CAP_0402","C0402","-8.382mm","-20.574mm","-8.382mm","-20.574mm","-8.927mm","-20.574mm","2","B","0","Yes","330pF","330pF"
"C98","CAP_0402","C0402","-6.731mm","-19.812mm","-6.731mm","-19.812mm","-6.731mm","-19.267mm","2","B","270","Yes","330pF","330pF"
"C99","CAP_0402","C0402","-8.382mm","-12.827mm","-8.382mm","-12.827mm","-8.927mm","-12.827mm","2","B","0","Yes","330pF","330pF"
"C100","CAP_0402","C0402","-6.731mm","-12.065mm","-6.731mm","-12.065mm","-6.731mm","-11.52mm","2","B","270","Yes","330pF","330pF"
"C101","CAP_0402","C0402","-6.886mm","-5.621mm","-6.886mm","-5.621mm","-7.431mm","-5.621mm","2","B","0","Yes","100nF","100nF"
"C102","CAP_0402","C0402","-6.886mm","-6.51mm","-6.886mm","-6.51mm","-7.431mm","-6.51mm","2","B","0","Yes","100nF","100nF"
"C103","CAP_1206","C1206","-0.762mm","-10.668mm","-0.762mm","-10.668mm","-0.762mm","-12.261mm","2","B","90","Yes","10uF","10uF"
"C104","03EC0575","CAP-TH_BD8.0-P3.50-D0.5-FD","-20.066mm","17.907mm","-20.066mm","17.907mm","-20.066mm","16.157mm","2","T","90","No","470uF","470uF"
"C105","ERS1VM221F12OT","CAP-TH_BD8.0-P3.50-D0.6-FD","5.842mm","5.08mm","5.842mm","5.08mm","4.092mm","5.08mm","2","T","0","No","220uF","220uF"
"C106","CAP_0402","C0402","-12.192mm","6.604mm","-12.192mm","6.604mm","-11.647mm","6.604mm","2","B","180","Yes","100nF","100nF"
"C107","PA16V100M5x7","CAP-TH_BD5.0-P2.00-D0.5-FD","13.081mm","19.558mm","13.081mm","19.558mm","13.081mm","18.558mm","2","T","90","No","100uF","100uF"
"C108","CAP_1206","C1206","-14.859mm","17.399mm","-14.859mm","17.399mm","-14.859mm","18.992mm","2","B","270","Yes","10uF","10uF"
"C109","CAP_1206","C1206","-12.7mm","17.399mm","-12.7mm","17.399mm","-12.7mm","18.992mm","2","B","270","Yes","10uF","10uF"
"C110","CAP_0603","C0603","-14.732mm","9.271mm","-14.732mm","9.271mm","-14.732mm","9.971mm","2","B","270","Yes","1uF","1uF"
"C111","CAP_0603","C0603","-16.129mm","9.271mm","-16.129mm","9.271mm","-16.129mm","9.971mm","2","B","270","Yes","1uF","1uF"
"C112","CAP_0805","C0805","-26.035mm","18.542mm","-26.035mm","18.542mm","-26.035mm","17.542mm","2","B","90","Yes","10uF","10uF"
"C113","CAP_0805","C0805","-30.48mm","18.542mm","-30.48mm","18.542mm","-30.48mm","19.542mm","2","B","270","Yes","10uF","10uF"
"C114","CAP_0402","C0402","-16.637mm","-1.143mm","-16.637mm","-1.143mm","-16.637mm","-1.688mm","2","B","90","Yes","2.2nF","2.2nF"
"C115","CAP_0402","C0402","-17.653mm","-1.143mm","-17.653mm","-1.143mm","-17.653mm","-1.688mm","2","B","90","Yes","100pF","100pF"
"C116","CAP_0402","C0402","-21.463mm","2.667mm","-21.463mm","2.667mm","-22.008mm","2.667mm","2","B","0","Yes","330pF","330pF"
"C117","CAP_0402","C0402","-21.463mm","3.81mm","-21.463mm","3.81mm","-22.008mm","3.81mm","2","B","0","Yes","330pF","330pF"
"C118","CAP_0603","C0603","32.258mm","12.7mm","32.258mm","12.7mm","32.958mm","12.7mm","2","B","180","Yes","1uF","1uF"
"C119","CAP_0402","C0402","20.574mm","8.509mm","20.574mm","8.509mm","20.574mm","9.054mm","2","B","270","Yes","100nF","100nF"
"C120","CAP_0603","C0603","27.559mm","20.193mm","27.559mm","20.193mm","27.559mm","20.893mm","2","B","270","Yes","1uF","1uF"
"C121","CAP_0402","C0402","20.193mm","-13.843mm","20.193mm","-13.843mm","20.578mm","-13.458mm","2","B","225","Yes","100nF","100nF"
"CN1","XT30UPB-M","CONN-TH_XT30UPB-M","43.582mm","18.214mm","43.582mm","18.214mm","43.582mm","20.714mm","2","T","270","No","XT30UPB-M","XT30UPB-M"
"D9","BAT46WS_C7502692","SOD-323_L1.7-W1.3-LS2.6-RD-1","16.891mm","14.732mm","16.891mm","14.732mm","16.891mm","15.872mm","2","T","270","Yes","BAT46WS","BAT46WS"
"D10","SRV05-4HTG-D","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","25.4mm","1.397mm","25.4mm","1.397mm","26.75mm","2.347mm","6","B","0","Yes","SRV05-4HTG-D","SRV05-4HTG-D"
"D11","SRV05-4HTG-D","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","25.4mm","-2.032mm","25.4mm","-2.032mm","26.75mm","-1.082mm","6","B","0","Yes","SRV05-4HTG-D","SRV05-4HTG-D"
"D12","SMAJ20A_C148209","SMA_L4.3-W2.6-LS5.2-RD","-30.607mm","1.143mm","-30.607mm","1.143mm","-30.607mm","-1.057mm","2","T","90","Yes","SMAJ20A","SMAJ20A"
"D13","SMAJ20A_C148209","SMA_L4.3-W2.6-LS5.2-RD","-17.526mm","17.272mm","-17.526mm","17.272mm","-17.526mm","15.072mm","2","B","90","Yes","SMAJ20A","SMAJ20A"
"D14","SMAJ26A_C148225","SMA_L4.4-W2.6-LS5.0-RD","9.017mm","17.78mm","9.017mm","17.78mm","9.017mm","15.587mm","2","B","90","Yes","SMAJ26A","SMAJ26A"
"D16","SMAJ20A_C148209","SMA_L4.3-W2.6-LS5.2-RD","-26.289mm","-11.811mm","-26.289mm","-11.811mm","-28.489mm","-11.811mm","2","B","0","Yes","SMAJ20A","SMAJ20A"
"H1","X6511WRS-05H-C60D48","HDR-SMD_5P-P2.54-H-M-W13.3-N","29.337mm","-6.096mm","29.337mm","-6.096mm","29.337mm","-1.016mm","5","B","270","Yes","X6511WRS-05H-C60D48","X6511WRS-05H-C60D48"
"L1","XR050125TS220MH1L","IND-TH_BD15.5-P4.00-D0.8_XR050125TS221MHL5","-25.527mm","-14.605mm","-25.527mm","-14.605mm","-23.527mm","-14.605mm","2","T","270","No","22uH","22uH"
"L3","FNR4018S101MT","IND-SMD_L4.0-W4.0_FNR40XXS","19.939mm","13.97mm","19.939mm","13.97mm","19.939mm","12.47mm","2","T","90","Yes","100uH","100uH"
"L4","SRT065125HW100MB","IND-TH_SRT065125HW100MB","-13.843mm","11.938mm","-13.843mm","11.938mm","-16.843mm","11.938mm","2","T","270","No","22uH","22uH"
"L5","XR050125TS220MH1L","IND-TH_BD15.5-P4.00-D0.8_XR050125TS221MHL5","-24.638mm","-2.794mm","-24.638mm","-2.794mm","-23.224mm","-1.38mm","2","T","315","No","22uH","22uH"
"L6","FXL0530-100-M","IND-SMD_L5.4-W5.2_FXL0530","-0.893mm","17.69mm","-0.893mm","17.69mm","-2.943mm","17.69mm","2","B","0","Yes","10uH","10uH"
"LED2","LED_0603-B","LED_0603","-4.115mm","12.184mm","-4.064mm","12.192mm","-4.915mm","12.182mm","2","T","0","Yes","LED_0603-B","LED_0603-B"
"P1","JS20T-S02PHA-00","CONN-TH_2P-P2.00_JS20T-S02PHA-00","18.923mm","18.415mm","18.923mm","18.415mm","17.923mm","18.415mm","2","T","0","No","JS20T-S02PHA-00","JS20T-S02PHA-00"
"Q1","AO3400A_C347475","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","18.288mm","9.906mm","18.288mm","9.906mm","19.288mm","8.956mm","3","T","0","Yes","AO3400A","AO3400A"
"Q2","BSC059N04LSG","PG-TDSON-8_L5.0-W6.0-P1.27-LS6.2-BL-EP","-4.219mm","-1.811mm","-4.219mm","-1.811mm","-6.124mm","1.054mm","9","B","0","Yes","BSC059N04LSG","BSC059N04LSG"
"Q3","BSC059N04LSG","PG-TDSON-8_L5.0-W6.0-P1.27-LS6.2-BL-EP","-9.68mm","-1.811mm","-9.68mm","-1.811mm","-7.775mm","-4.676mm","9","B","180","Yes","BSC059N04LSG","BSC059N04LSG"
"Q4","AON7544","DFN-8_L3.3-W3.3-P0.65-BL-2","-23.241mm","18.796mm","-23.241mm","18.796mm","-24.216mm","19.561mm","5","B","0","Yes","AON7544","AON7544"
"Q5","AON7544","DFN-8_L3.3-W3.3-P0.65-BL-2","-25.908mm","8.001mm","-25.908mm","8.001mm","-26.673mm","7.026mm","5","B","90","Yes","AON7544","AON7544"
"Q6","RUH4040M2","PDFN3333-8_L3.1-W3.2-P0.65-LS3.4-BL","23.241mm","16.002mm","23.241mm","16.002mm","24.774mm","16.977mm","9","B","270","Yes","RUH4040M2","RUH4040M2"
"Q7","RUH4040M2","PDFN3333-8_L3.1-W3.2-P0.65-LS3.4-BL","23.241mm","12.573mm","23.241mm","12.573mm","24.774mm","13.548mm","9","B","270","Yes","RUH4040M2","RUH4040M2"
"R17","Res_0402","R0402","4.953mm","13.843mm","4.953mm","13.843mm","4.953mm","13.41mm","2","B","90","Yes","33K","33K"
"R18","Res_0402","R0402","4.953mm","11.938mm","4.953mm","11.938mm","4.953mm","11.505mm","2","B","90","Yes","3.3K","3.3K"
"R38","Res_0603","R0603","-4.064mm","10.668mm","-4.064mm","10.668mm","-4.817mm","10.668mm","2","T","0","Yes","22K","22K"
"R39","Res_1206","R1206","-28.448mm","-2.54mm","-28.448mm","-2.54mm","-28.448mm","-4.019mm","2","B","90","Yes","10mR","10mR"
"R40","Res_0402","R0402","-8.763mm","-6.096mm","-8.763mm","-6.096mm","-8.763mm","-5.663mm","2","B","270","Yes","33K","33K"
"R41","Res_1206","R1206","-31.242mm","-14.478mm","-31.242mm","-14.478mm","-29.763mm","-14.478mm","2","T","180","Yes","10mR","10mR"
"R42","Res_0402","R0402","-7.112mm","-13.843mm","-7.112mm","-13.843mm","-6.679mm","-13.843mm","2","B","180","Yes","33K","33K"
"R43","Res_1206","R1206","-21.844mm","10.287mm","-21.844mm","10.287mm","-21.844mm","11.766mm","2","B","270","Yes","5mR","5mR"
"R44","Res_1206","R1206","-22.352mm","13.97mm","-22.352mm","13.97mm","-20.873mm","13.97mm","2","B","180","Yes","5mR","5mR"
"R45","Res_0402","R0402","-17.145mm","0.508mm","-17.145mm","0.508mm","-17.578mm","0.508mm","2","B","0","Yes","20K","20K"
"R46","MF52A104J3950（A1)","RES-TH_L2.5-W2.5-P1.70-D0.3","-14.097mm","-5.08mm","-14.097mm","-5.08mm","-13.496mm","-4.479mm","2","T","225","No","MF52A104J3950（A1)","MF52A104J3950（A1)"
"R47","Res_0402","R0402","21.717mm","18.923mm","21.717mm","18.923mm","21.717mm","19.356mm","2","B","270","Yes","10R","10R"
"R48","Res_0402","R0402","20.574mm","9.906mm","20.574mm","9.906mm","20.574mm","10.339mm","2","T","270","Yes","10K","10K"
"RN1","4D03WGJ0512T5E","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","9.525mm","-7.747mm","9.525mm","-7.747mm","10.425mm","-6.547mm","8","B","270","Yes","5.1kΩ","5.1kΩ"
