"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"OLED1","0.78寸OLED","0.78寸OLED","5.356mm","2.464mm","5.356mm","2.473mm","5.356mm","6.664mm","13","B","180","Yes","0.78寸OLED","0.78寸OLED"
"C1","CAP_0402","C0402","9.398mm","4.572mm","9.398mm","4.572mm","9.943mm","4.572mm","2","B","180","Yes","100nF","100nF"
"C2","CAP_0603","C0603","-6.731mm","0.635mm","-6.731mm","0.635mm","-6.731mm","1.335mm","2","B","270","Yes","100nF","100nF"
"C3","CAP_0603","C0603","9.398mm","5.715mm","9.398mm","5.715mm","10.098mm","5.715mm","2","B","180","Yes","100nF","100nF"
"C4","CAP_0402","C0402","9.398mm","1.778mm","9.398mm","1.778mm","9.943mm","1.778mm","2","B","180","Yes","100nF","100nF"
"R1","Res_0402","R0402","10.033mm","3.175mm","10.033mm","3.175mm","10.033mm","2.742mm","2","B","90","Yes","750K","750K"
"R2","Res_0402","R0402","8.763mm","3.175mm","8.763mm","3.175mm","8.763mm","2.742mm","2","B","90","Yes","10K","10K"
"SW1","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","-9.906mm","6.096mm","-9.906mm","6.096mm","-8.831mm","8.196mm","4","T","270","Yes","SKRPACE010","SKRPACE010"
"SW2","SKRPACE010","KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6","-17.78mm","6.096mm","-17.78mm","6.096mm","-16.705mm","8.196mm","4","T","270","Yes","SKRPACE010","SKRPACE010"
"RN5","4D03WGJ0220T5E","RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL","15.24mm","0.635mm","15.24mm","0.635mm","16.44mm","-0.265mm","8","B","180","Yes","22Ω","22Ω"
